comp,var,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,dim_1,ind_1
som,carbon_02,0.9825958659364928,4.033858298192084,0.9800475525620898,4.149769686100896e-06,0.018118861071702772,0.13192472877935799,inf,1.4927095322034325e-05,0.007355628872807382,0.9926294440318706,asp,1
som,carbon_02,0.9810629893402418,118.4052433058304,0.972559492785918,4.5152624367568454e-06,0.020200021876389918,0.13761181148345591,inf,0.0007339131019548977,0.017383325868300308,0.9818827610297447,asp,2
som,carbon_02,0.9812839927474686,178.79676611071713,0.9830035170230675,4.462567299125279e-06,0.02018063904634281,0.13680645910384281,inf,4.296740352179915e-06,0.003141533678789571,0.9968541695808582,asp,3
som,carbon_03,0.9485383866158584,6.464164200869528,0.9680345396647049,1.2270294083009424e-05,0.03300152052556912,0.22685152277236653,inf,0.00020842320281622988,0.0007613964721937456,0.99903018032499,asp,1
som,carbon_03,0.9666894140692084,137.21992977624888,0.9851904847862962,7.942438228610295e-06,0.02888960714186691,0.18251187887584627,inf,0.00023187274018389567,0.00010166195660030925,0.9996664653032158,asp,2
som,carbon_03,0.9670107148741446,209.86374766720908,0.9819793441069689,7.865828594624558e-06,0.02897228676063109,0.18162952713106809,inf,0.00022899678367310623,7.104870825613702e-05,0.9996999545080708,asp,3
som,carbon_04,0.9213050982456019,4.931835649247126,0.9803053876173213,1.8763686636718667e-05,0.0240936243485126,0.2805261159934991,inf,0.00047592459294618653,0.004804761573536794,0.994719313833517,asp,1
som,carbon_04,0.9232163281185009,134.59290401584053,0.9941423001917379,1.8307980896876276e-05,0.02397079195494369,0.2770986681337518,inf,0.0009665992899740935,0.013324077849680696,0.9857093228603453,asp,2
som,carbon_04,0.9282573117830895,201.1305867876082,0.9940166605286422,1.7106029617765995e-05,0.023122205015766045,0.267848255952714,inf,0.0010793133531816334,0.012061682135345635,0.9868590045114727,asp,3
som,carbon_05,0.9185853636045029,8.400286899487519,0.9743479212257167,1.941216890689008e-05,0.031090993827416476,0.28533250147064737,inf,0.0016500238020534697,0.002718640339526879,0.9956313358584197,asp,1
som,carbon_05,0.9548470281711058,174.99153952860732,0.9192060729490188,1.0766087703598991e-05,0.024125959024720187,0.2124922865162267,inf,0.0036987282585459053,0.08001464296265257,0.9162866287788015,asp,2
som,carbon_05,0.9460707150728089,292.5185971683654,0.927083471090802,1.285867547143325e-05,0.02644219428675112,0.2322267963159959,inf,0.0002479194570405124,0.04107648957745712,0.9586755909655024,asp,3
som,carbon_06,0.9337815582554363,10.43693700114346,0.9756704576645401,1.5788851155117703e-05,0.03980471347668502,0.2573294420476671,inf,0.006575905316773255,0.0010976710552449466,0.9923264236279817,asp,1
som,carbon_06,0.8714877931155235,385.3951843404078,0.9925392091033852,3.064191866582654e-05,0.05383240549636218,0.35848599259172814,inf,0.018555898062601755,0.02280619053516033,0.9586379114022379,asp,2
som,carbon_06,0.8841186700750651,563.4889599431311,0.9989141272649852,2.763026464590722e-05,0.050946749574286646,0.340413469070974,inf,0.016067336929242972,0.025577186523740907,0.958355476547016,asp,3
som,carbon_07,0.9618913259573425,6.5941119663451815,0.917548639920742,9.08647449753397e-06,0.03749252968196216,0.1952144309282935,inf,0.021315192499245617,0.1142348647389215,0.8644499427618328,asp,1
som,carbon_07,0.968539247813407,158.7035473000246,0.9625274748475537,7.501371527561519e-06,0.03291960119852956,0.17737179084226729,inf,0.006536734001359183,0.015508880416556918,0.9779543855820838,asp,2
som,carbon_07,0.959894324989661,280.70211241349773,0.9562962579028638,9.562631142188599e-06,0.03765543625054677,0.20026401326833282,inf,0.0055132714634979684,0.014422775722469342,0.9800639528140328,asp,3
som,carbon_08,0.9748885250713364,6.50598779399005,0.9712597705447321,5.9874761394047824e-06,0.036656036334204216,0.1584660055931986,inf,0.0009973441365480251,0.010619865335466565,0.9883827905279854,asp,1
som,carbon_08,0.9769685034412002,151.63133856625157,0.9761513136418396,5.491534706437701e-06,0.03490260247545203,0.15176131443421184,inf,0.0005227902566961478,0.006693355081219904,0.992783854662084,asp,2
som,carbon_08,0.9784573614600398,229.82628747538342,0.9753264150226101,5.136537563176011e-06,0.03416270293364219,0.14677410718502154,inf,0.00010226277166228135,0.009100037912713198,0.9907976993156244,asp,3
som,carbon_09,0.9881758722249424,1.616615826543722,1.021628128033415,2.8192960837047243e-06,0.0211431702999466,0.10873880528614252,inf,0.008446049708128426,0.06221406157662508,0.9293398887152465,asp,1
som,carbon_09,0.9882795741386947,39.94687676082479,1.0182536204324693,2.7945698286374034e-06,0.020956296037853702,0.1082609156681453,inf,0.00670898154013361,0.0482947854289668,0.9449962330308996,asp,2
