comp,var,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,dim_1,ind_1
som,carbon_02,0.9585031358233651,6.207206105894765,0.9544988525769268,9.984808512183555e-06,0.02788087651133871,0.20370779115349233,inf,0.00019040822752013615,0.015146979151548487,0.9846626126209316,asp,1
som,carbon_02,0.9614661706554929,168.27713260501557,0.9537917941784745,9.27185499145984e-06,0.028708202990112865,0.19630035492710424,inf,0.0001192392493180217,0.0193648419017664,0.9805159188489155,asp,2
som,carbon_02,0.9604195223578402,259.04183506392417,0.9490052830101905,9.523695294071169e-06,0.029237831785448472,0.19894842960465853,inf,2.8090623477058186e-07,0.025399989470022807,0.9745997296237423,asp,3
som,carbon_03,0.9343016575402583,7.336918472587128,0.962211791363907,1.5808070851718405e-05,0.037457196018464575,0.25631687899890965,inf,0.0027673785551768117,0.000387047765478372,0.9968455736793448,asp,1
som,carbon_03,0.9526875815486,164.33744683102094,0.9619238378225691,1.1384123785226166e-05,0.03459879541832703,0.21751417988581787,inf,0.002559306325859791,0.004497280466517112,0.992943413207623,asp,2
som,carbon_03,0.9490513965620984,262.07766652646137,0.9377122566563377,1.2259047987945548e-05,0.03618056664175392,0.22571797322743642,inf,2.7433073682195968e-05,0.0276277581739228,0.9723448087523948,asp,3
som,carbon_04,0.7858993052993726,8.56046508950771,1.1015978889527438,5.151604781054558e-05,0.041820661673233325,0.4627101627375688,inf,0.028001721476583575,0.16504963070311726,0.8069486478202991,asp,1
som,carbon_04,0.7608785240273778,248.994926750628,1.0344841640718065,5.7536447539129514e-05,0.0443456185942261,0.48900048667933066,inf,0.01573577573476821,0.08441014165548173,0.8998540826097501,asp,2
som,carbon_04,0.7483082118772387,395.0324520607462,1.0968798070787646,6.056106547708404e-05,0.04541338784078016,0.5016889356192353,inf,0.024820674227486777,0.1583979583498706,0.8167813674226426,asp,3
som,carbon_05,0.8595538491168929,11.128172750839264,0.8208024174915496,3.379358779670526e-05,0.041187396864727985,0.3747614586415031,inf,1.3497087485059871e-05,0.09525573213538126,0.9047307707771337,asp,1
som,carbon_05,0.8383039180843027,334.22254909298823,0.7758835376028828,3.8906660711188e-05,0.046079024999015845,0.40211451343578397,inf,0.0016823711709871073,0.14952896477274694,0.848788664056266,asp,2
som,carbon_05,0.8541394392780056,485.5083939028178,0.8122878897287104,3.509638130943079e-05,0.04388749092775687,0.38191695526906677,inf,2.8870756674634635e-05,0.10247364887970085,0.8974974803636245,asp,3
