comp,var,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,dim_1,ind_1
som,carbon_02,0.982643262073703,4.028361913160842,0.9844484185192954,4.138468747328813e-06,0.018094172986644782,0.13174497305892563,inf,0.00024222349984713597,0.0027423221674150954,0.9970154543327377,asp,1
som,carbon_02,0.9818414923939938,115.94587406304544,0.9800049120143354,4.329639391036303e-06,0.019780451668860683,0.13475350684121828,inf,4.857037695408766e-05,0.006635122825640487,0.9933163067974055,asp,2
som,carbon_02,0.9827572591172374,171.61538066489703,0.9791181125675243,4.111287764130318e-06,0.019370082173938236,0.13131161747066614,inf,5.2230292946866155e-06,0.008826505384767386,0.9911682715859379,asp,3
som,carbon_03,0.9550213380808739,6.0432971142204766,0.9857900886546231,1.0724525970225599e-05,0.03085286628861195,0.21208173405346856,inf,0.0024489673973804595,0.0014915782639737508,0.9960594543386457,asp,1
som,carbon_03,0.9696822925739226,130.91042582812975,0.9866683975059359,7.228828666208245e-06,0.02756123530390981,0.17411980767872842,inf,0.0031280140982945133,0.00010430154744069884,0.9967676843542648,asp,2
som,carbon_03,0.9696963087907586,201.1401352248226,0.9846864215987275,7.225486697482438e-06,0.027767967272015946,0.1740795542539139,inf,0.0017142709440143666,1.1629142763689176e-06,0.9982845661417092,asp,3
som,carbon_04,0.9501795322687806,3.9240921464831016,0.995349574982098,1.187898610663315e-05,0.019170468930923376,0.22320499038153122,inf,0.001465992168036747,0.008047171932378857,0.9904868358995845,asp,1
som,carbon_04,0.9293351674254706,129.118773636397,1.0300189931892292,1.684903017990686e-05,0.0229958576415832,0.26582857742261157,inf,0.004009337138631257,0.056544981586458674,0.9394456812749101,asp,2
som,carbon_04,0.9230113919402292,208.35433060641998,1.0338074656266834,1.835684503094202e-05,0.023952654964864633,0.2774682108995025,inf,0.0038992037095024233,0.06313972014523368,0.9329610761452639,asp,3
som,carbon_05,0.9367426461034848,7.4045451519910825,0.888781175836351,1.5082821625301682e-05,0.02740557202033495,0.25151014670687794,inf,0.001360830770862246,0.10912678081437291,0.8895123884147649,asp,1
som,carbon_05,0.9450161895802945,193.1040129010848,0.8988806265525605,1.3110112164927399e-05,0.026623112839115254,0.23448626914961462,inf,0.0016831376024012232,0.10673701601480577,0.891579846382793,asp,2
som,carbon_05,0.9532123870595516,272.4624109951633,0.9312376313256521,1.1155844764055427e-05,0.024629217004018503,0.2163044450316462,inf,0.0003740945231880357,0.04612755725089032,0.9534983482259215,asp,3
som,carbon_06,0.9332559609362645,10.478275815913465,0.9894795759603574,1.591417240432415e-05,0.03996237272836063,0.2583486773020824,inf,0.01635092715667635,0.007292880247656733,0.9763561925956669,asp,1
som,carbon_06,0.9148310890645763,313.74342975949963,1.0012887166809832,2.0307322588322293e-05,0.043824012906489185,0.2918371308374308,inf,0.022346901424183586,0.020749226104652258,0.9569038724711643,asp,2
som,carbon_06,0.9201623642622789,467.7163049423148,1.001384973412405,1.9036155397644506e-05,0.04228765273788443,0.282555544517748,inf,0.02089956193399034,0.019723460764219776,0.95937697730179,asp,3
som,carbon_07,0.9643306186859584,6.379581445820819,0.9272087404103011,8.504859636156812e-06,0.036272760901950904,0.18886339326095375,inf,0.013601023207303949,0.09048984153751673,0.8959091352551793,asp,1
som,carbon_07,0.9641765372792966,169.35025875545048,0.9560894655878684,8.541598168980292e-06,0.03512803006575489,0.189270871294828,inf,0.003919562008795313,0.019481891124874702,0.9765985468663301,asp,2
som,carbon_07,0.9663455049151656,257.1368417389959,0.9487811167696961,8.024438503775488e-06,0.03449421833173244,0.18345161510554875,inf,0.007339674858810501,0.0366749568051283,0.9559853683360613,asp,3
som,carbon_08,0.9780521969337986,6.082367551315813,0.9690536096760692,5.233143315737095e-06,0.034269275169094816,0.14814790942231137,inf,8.148111972408606e-05,0.018548954530316773,0.981369564349959,asp,1
som,carbon_08,0.976933713300741,151.74581842472617,0.9643577847874126,5.499829923523839e-06,0.034928953525502536,0.151875892422922,inf,0.0004913156174993986,0.025837766704553643,0.973670917677947,asp,2
som,carbon_08,0.9773698002503283,235.55615033694798,0.9620525034839277,5.395851156335649e-06,0.035014422747508586,0.15043337312468838,inf,0.0014716568721056117,0.032246826496001746,0.9662815166318925,asp,3
som,carbon_09,0.9849336887622807,1.8248439686404478,1.040321794402111,3.592348888345082e-06,0.023866515573019418,0.12274490310281432,inf,0.02002342535643184,0.14424185119790803,0.8357347234456601,asp,1
som,carbon_09,0.9839123198587033,46.80129230005993,1.031896711608604,3.835879862016389e-06,0.02455215065414111,0.1268372190695489,inf,0.014705610693215236,0.09483281635517403,0.8904615729516108,asp,2
som,carbon_09,0.9850332121458162,70.80278221019617,1.0290505972625732,3.5686189447267023e-06,0.023826139471682734,0.12233882398561706,inf,0.013952086963523697,0.08558037379315124,0.9004675392433251,asp,3
som,carbon_10,0.9703595171496684,5.532428384909838,0.9719733976382999,7.067354041566917e-06,0.0273338203224778,0.1721641160356352,inf,2.4117101606956996e-06,0.005963160847755,0.9940344274420843,asp,1
som,carbon_10,0.9718095410377412,138.66369283100744,0.9714808972392067,6.721616347701191e-06,0.026307919602312668,0.16790014580773538,inf,1.052606365851296e-05,0.00748865341797556,0.9925008205183659,asp,2
