Y,Tamp,Tmax,Tmean,Tmin,Tstd,Rainf_mean,Rainf_std,Qair_mean,PSurf_mean,SWdown_mean,LWdown_mean,clay_frac,Pre_GS,Temp_GS,GS_length,interx1,interx2,NPP0,LAI0,pft
159.05099480397564,8.838435609879024,9.055519153225822,4.909489174182168,0.2170835433467971,2.9799117126219357,569.4177202088697,12.906686678317577,0.004053300931077895,98274.35654489888,137.57793411176752,279.4874670950816,0.06,561.6174774662826,58.91387009018603,12.0,2795.5501329529366,33087.05910782655,0.19289036095142365,0.0866527184844017,1.0
246.7324463589018,9.728736139112915,10.879340977822608,6.362616491517979,1.1506048387096939,3.2753738292680676,368.22332809712606,8.933983204645113,0.003979056461609774,98342.58894985278,146.81317453606093,284.9264261056458,0.15034742834132075,363.17917291771334,76.35139789821577,12.0,2342.86381991241,27729.237539785237,0.21014033257961273,0.10542003810405731,1.0
57.199704711397075,10.374817288306451,11.620359753024218,6.805791297518064,1.2455424647177664,3.508417981091446,346.41628768471156,8.747411473891814,0.004185858820524511,99039.31249599975,145.38081455838173,278.36606612885726,0.18,341.67085908629076,81.66949557021675,12.0,2357.636956043124,27904.086712619977,0.21519193053245544,0.10923804342746735,
180.51386504609408,7.885367313508061,10.267562373991955,6.463786205754691,2.3821950604838946,2.6206568382627267,2671.483928897581,29.579739979753686,0.0040269626832495145,99963.60193052354,162.3827499422463,303.7671861530388,0.06,2634.88825863871,77.5654344690563,12.0,17267.90096850353,204376.25255872673,0.18326984345912933,0.09907430410385132,1.0
200.11788286701528,10.428840095766146,10.21797820060487,5.299993299883713,-0.21086189516127546,3.5001139585070096,399.30064250823983,7.898164635023113,0.002980071041791205,95475.6497609447,159.12831439946532,293.0137060615629,0.12,393.8307706930584,63.5999195986046,12.0,2116.290729932933,25047.605351535,0.1507280170917511,0.07382934540510178,1.0
129.32168442013267,7.97285859420004,9.922549874442002,6.06760442887097,1.9496912802419615,2.7941449211922675,563.9193605552298,9.150144321722902,0.005009873204097282,100151.25794402842,148.06400420923816,289.08833480999033,0.18,556.194437807898,72.81125314645169,12.0,3421.6396096309977,40497.214009879244,0.1741911619901657,0.07542676478624344,1.0
168.02139715826382,7.705997983870963,10.6882497479839,6.810891705506676,2.9822517641129367,2.563455495353544,949.5050484745404,17.231809309694228,0.004070207276245645,99162.33603030595,170.9856071579206,306.9086364396072,0.06,936.4981300022864,81.73070046608012,12.0,6466.9760589919615,76540.64815026104,0.1796746402978897,0.0999896302819252,
182.66437470770796,11.163599420362909,10.260496471774223,4.774841450477853,-0.9031029485886848,3.7666601506487813,378.41353857993846,8.374482409436894,0.002367905517620417,90030.93833765363,168.80224033056865,285.8546089562232,0.11939765321997098,373.22979147610374,57.29809740573423,12.0,1806.8646494334903,21385.35694671967,0.14164377748966217,0.061735961586236954,
137.0794270819584,11.25519153225806,10.428298261088724,4.911433783637176,-0.8268932711693366,3.7376362690660443,730.9367778858017,12.253678722348806,0.002893530083500722,91765.48587429595,179.53644102722572,296.82113881288404,0.13065508939687326,720.9239453120234,58.9372054036461,12.0,3589.947584611229,42489.24264526165,0.15693806111812592,0.06360076367855072,1.0
154.4090834146326,10.367911877610169,10.412937709263417,5.438620875798575,0.04502583165324836,3.460636865739062,2371.0599776422646,21.089396441966382,0.004149468372772885,97179.03759104582,167.02376474516242,312.3456321504577,0.1,2338.5797039759323,65.2634505095829,12.0,12895.296292175723,152623.78077314826,0.16134338080883026,0.06854470819234848,
0.0,10.836991579961113,13.773685128348234,8.810621991682494,2.93669354838712,3.6925598539007924,708.4324999376413,10.725707294985925,0.005201716553505664,96152.3340516193,179.9936517963712,294.71770150602134,0.13965092528836967,698.7279451439749,105.72746390018987,12.0,6241.730963573189,73874.73359626345,0.0,0.0,
0.0,13.390795110887098,13.94182837701615,7.30893851518999,0.5510332661290533,4.422367242592206,567.1100722673167,29.137951600986828,0.003533711355776586,89989.5823014273,189.57652624502342,285.4887179979518,0.2,559.3414411403672,87.70726218227989,12.0,4144.972649546769,49058.30642751246,0.0,0.0,
0.0,10.695615481890838,12.694569614955379,7.614286184940855,1.9989541330645408,3.58648336785695,3037.8309196798923,63.80183318733309,0.00483201433576861,94023.30146793397,181.48552909886232,304.77608398437496,0.11304319746672184,2996.216797492497,91.3714342192903,12.0,23130.914003904778,273768.6260188183,0.0,0.0,
0.0,9.313278099798367,14.448462701612915,9.44722617716286,5.135184601814546,3.058663399756237,1538.2279185149043,76.88156312433004,0.005902391453261672,99045.2847531042,202.63356325679842,310.35377122760855,0.27053103053032274,1517.1563031927824,113.36671412595433,12.0,14531.987058236742,171995.02490844586,0.0,0.0,
0.0,8.104734753024195,14.957091103830663,10.887169474158869,6.852356350806469,2.78809289828304,1239.328102171483,31.664673322039373,0.005711653759064991,100230.04595622118,189.2585828053933,317.5652883178273,0.27,1222.3510048814624,130.6460336899064,12.0,13492.775082428612,159695.31056463448,0.0,0.0,
0.0,13.487219632056451,15.96284967237906,8.966001996002767,2.4756300403226077,4.597466964569456,804.6249050848156,47.478895740684614,0.003819411743953976,88852.57710173451,215.74595808412985,284.50775491568953,0.20000000000000004,793.602646111051,107.59202395203322,12.0,7214.268505023993,85385.31490877713,0.0,0.0,
0.0,16.830358492943553,22.78889553931454,14.488459223890354,5.958537046370987,5.820160973614067,148.2062973264007,5.397843130047756,0.005114008975594366,97548.82507104456,203.48865445607262,296.4440161157814,0.18,146.17607407535408,173.86151068668423,12.0,2147.280895537326,25414.39306498972,0.0,0.0,
