comp,var,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,dim_1,ind_1
som,carbon_02,0.9779085639436471,4.5447123688399955,0.9895966880922976,5.267390571376466e-06,0.020413461736810863,0.14863188102272307,inf,0.0017291374514014828,1.7575547758628335e-05,0.99825328700084,asp,1
som,carbon_02,0.9750483894457068,135.91410023284632,0.9985695397978743,5.949358739697945e-06,0.02318704578750828,0.1579607880275772,inf,0.003379389938177032,0.004799528133906785,0.9918210819279161,asp,2
som,carbon_02,0.9774231984717063,196.37412576700564,0.9911934624326382,5.383119105458665e-06,0.022164580693204868,0.15025578700434017,inf,0.001544922102450684,0.00026834898315744517,0.9981867289143919,asp,3
som,carbon_03,0.9588892912406484,5.777609204282824,0.938989897569736,9.802267229220703e-06,0.029496448855400162,0.20275775881418606,inf,0.0009020250580379982,0.041544953405633016,0.9575530215363289,asp,1
som,carbon_03,0.9662175061920506,138.1885022167615,1.0047685075162553,8.054957989496761e-06,0.029093525605755323,0.18380014637630027,inf,0.007228404176992048,0.013443090527849496,0.9793285052951585,asp,2
som,carbon_03,0.9708451318365079,197.2906541324597,1.0023431650771346,6.951566085715796e-06,0.027236535467679637,0.17074796679167825,inf,0.005109166763380863,0.009573335886403937,0.9853174973502151,asp,3
som,carbon_04,0.901615303051359,5.514410251831984,1.0491654993412718,2.345843990191726e-05,0.02693969113336305,0.31366334970576504,inf,0.009263390197582122,0.08891177491687834,0.9018248348855396,asp,1
som,carbon_04,0.9081408503754533,147.21393981316044,1.036451631190303,2.1902515408809397e-05,0.026218579277504515,0.30308274385808676,inf,0.010209115296079145,0.067609467860138,0.9221814168437829,asp,2
som,carbon_04,0.9111082114489351,223.88248565504384,1.0364522200394213,2.1194990117087487e-05,0.025737789639234333,0.2981472598416174,inf,0.008756434583457368,0.0675774974854057,0.9236660679311368,asp,3
som,carbon_05,0.9252568933807201,8.048750176783424,0.8788494324942758,1.7821436962155425e-05,0.029789892304756576,0.27339185543698963,inf,0.00033871090233059684,0.10274183229020677,0.8969194568074625,asp,1
som,carbon_05,0.8808444315447896,284.2700158126154,0.9615123601680784,2.841096052818558e-05,0.03919210478361748,0.3451891777782298,inf,0.004378625268217728,0.003567188699591107,0.9920541860321911,asp,2
som,carbon_05,0.8922642555450333,413.4481562849575,0.9612973751156223,2.5688064963034496e-05,0.03737361173550777,0.32823123625725614,inf,0.00385589833485776,0.002046143738920221,0.9940979579262221,asp,3
som,carbon_06,0.9658818067894777,7.491634755777495,0.9950105186664837,8.135000765503664e-06,0.02857182858275638,0.18471110743678185,inf,0.007271094392002497,0.004133198008212337,0.9885957075997852,asp,1
som,carbon_06,0.9656975290508617,199.1117069355699,1.0020452121428223,8.178939186728256e-06,0.027812133058105266,0.1852092625900182,inf,0.011840118821443167,0.010321557686177188,0.9778383234923795,asp,2
som,carbon_06,0.9656769197177214,306.6703609151214,0.9932642841372716,8.183853190815115e-06,0.027726999444630817,0.1852648922010822,inf,0.009662751280251928,0.0030358913062001574,0.9873013574135479,asp,3
som,carbon_07,0.9603422995158123,6.726794527894489,0.9203562695442591,9.455817950450102e-06,0.038246930714664576,0.19914241256996895,inf,0.0019206658497808763,0.09618088064046854,0.9018984535097507,asp,1
som,carbon_07,0.9634993777566142,170.94335260438461,0.9276350520793885,8.703057282638476e-06,0.03545848275613867,0.19105136022385652,inf,0.0026637620371814156,0.08504513621316548,0.9122911017496531,asp,2
som,carbon_07,0.9596394137137328,281.59276933645344,0.9103252124506697,9.623411131680284e-06,0.037774915490282814,0.20089944322040096,inf,0.006259373807355156,0.12926172453649676,0.8644789016561482,asp,3
